"GruppeId";"PositionGruppenId";"PositionId";"PositionNeuId";"ValidFromDate";"ValidToDate";"PositionTitle";"PositionHinweis";"PositionAusFach";"PositionFachgebiete";"PositionPunktWert";"PositionGeldWert";"PositionZusatz";"PositionLogik"
"1";"";"";"";"20100601";"";"Ärztlicher Honorartarif für allgemeine Leistungen und Sonderleistungen";"";"0";"";"";"";"";""
"1.1";"";"";"";"20100601";"";"Grundleistungen";"";"0";"";"";"";"";""
"";"1.1";"F7";"";"20100601";"";"Sprengelzuschlag (Wien) bei Tag";"";"1";"";"7";"";"";""
"";"1.1";"F8";"";"20100601";"";"Sprengelzuschlag (Wien) bei Nacht (20 Uhr bis 7 Uhr)";"";"1";"";"8";"";"";""
"";"1.1";"A1";"";"20100601";"";"Erste Ordination";"Einmal im Monat je Behandlungsfall und nicht neben Pos. Nr. B1 verrechenbar.";"0";"";"24,5";"";"";""
"";"1.1";"A2";"";"20100601";"";"Weitere Ordination";"";"0";"";"16";"";"";""
"";"1.1";"A4";"";"20100601";"";"Zuschlag für Ordination an Sonn- und Feiertagen";"Die Pos.-Nr. A3 und A4 können nur verrechnet werden, wenn es sich um ärztlich dringliche Fälle
handelt und zur betreffenden Zeit keine Ordinationszeiten festgesetzt sind.";"0";"";"14";"";"";""
"";"1.1";"A3";"";"20100601";"";"Zuschlag für Ordination außerhalb der Sprechstunde";"Die Pos.-Nr. A3 und A4 können nur verrechnet werden, wenn es sich um ärztlich dringliche Fälle handelt und zur betreffenden Zeit keine Ordinationszeiten festgesetzt sind.";"0";"";"14";"";"";""
"";"1.1";"B2";"";"20100601";"";"Weiterer Krankenbesuch";"";"0";"";"45,5";"";"";""
"";"1.1";"B5";"";"20100601";"";"Zuschlag für Krankenbesuch bei Nacht (20 Uhr bis 7 Uhr)";"";"0";"";"48";"";"";""
"";"1.1";"B4";"";"20100601";"";"Zuschlag für Krankenbesuch an Sonn- und Feiertagen";"Nur bei Erstbesuch oder Dringlichkeit verrechenbar.
Bei den Pos.-Nr. B3 und B4 ist die Dringlichkeit kurz zu begründen.";"0";"";"27";"";"";""
"";"1.1";"3b";"";"20100601";"";"Zuschlag für Zeitversäumnis (Arzt für Allgemeinmedizin) bei Nacht (20 Uhr bis 7 Uhr)";"";"0";"";"40";"";"";""
"";"1.1";"3a";"";"20100601";"";"Zuschlag für Zeitversäumnis (Arzt für Allgemeinmedizin) bei Tag";"";"0";"";"20";"";"";""
"";"1.1";"2h";"";"20100601";"";"Entfernungszuschlag bei Tag, gem. § 9 Abs. 3 lit.c";"";"0";"";"3";"";"";""
"";"1.1";"2i";"";"20100601";"";"Entfernungszuschlag bei Nacht, gem. § 9 Abs. 3 lit.c";"";"0";"";"5";"";"";""
"";"1.1";"4b";"";"20100601";"";"Zuschlag für Konsilium (Arzt für Allgemeinmedizin) bei Nacht (20 Uhr bis 7 Uhr)";"Der berufene Arzt ist anzuführen.";"0";"";"40";"";"";""
"";"1.1";"3c";"";"20100601";"";"Ausführlicher Befundbericht";"Die Durchschrift kann vom Chefarzt zur Einsicht angefordert werden. Befunde für private Zwecke können der SVA nicht verrechnet werden. Mindestinhalt: Anamnese, Status, Diagnose bzw. Verdachtsdiagnose, Therapievorschlag; verrechenbar nur, wenn der Bericht in Überweisungsfällen an den Überweiser bzw. in Eigenfällen über Verlangen des Hausarztes an diesen übersandt wird.";"0";"";"15";"";"";""
"";"1.1";"A5";"";"20100601";"";"Zuschlag für Ordination bei Nacht (20 Uhr bis 7 Uhr)";"";"0";"";"24";"";"";""
"";"1.1";"B1";"";"20100601";"";"Erster Krankenbesuch";"Einmal im Monat je Behandlungsfall und nicht neben Pos. Nr. A1 verrechenbar.";"0";"";"54";"";"";""
"";"1.1";"B3";"";"20100601";"";"Zuschlag für dringenden Krankenbesuch während der Sprechstunde";"Nur bei Berufung wegen Verdachtes auf akut lebensbedrohlichen Zustand - wie z. B. Unfall, Kollaps, schwere akute Blutung und dgl. - verrechenbar.
Bei den Pos.-Nr. B3 und B4 ist die Dringlichkeit kurz zu begründen.";"0";"";"27";"";"";""
"";"1.1";"E11";"";"20100601";"";"Erste Ordination erforderlichenfalls einschließlich eingehender Untersuchung";"Durch den Facharzt für Anaesthesiologie, Innere Medizin, Kinderheilkunde und Lungenkrankheitenden Facharzt für Anaesthesiologie, Innere Medizin, Kinderheilkunde und Lungenkrankheiten.
Einmal im Monat je Behandlungsfall und nicht neben Pos. Nr. F11 verrechenbar.";"1";"";"35,5";"";"";""
"";"1.1";"E3";"";"20100601";"";"Weitere Ordination";"";"1";"";"16";"";"";""
"";"1.1";"E6";"";"20100601";"";"Zuschlag für Ordination bei Nacht (20 Uhr bis 7 Uhr)";"";"1";"";"24";"";"";""
"";"1.1";"E5";"";"20100601";"";"Zuschlag für Ordination an Sonn- und Feiertagen";"Die Pos.-Nr. E4 und E5 können nur verrechnet werden, wenn es sich um ärztlich dringliche Fälle handelt und zur betreffenden Zeit keine Ordinationszeiten festgesetzt sind.";"1";"";"14";"";"";""
"";"1.1";"E4";"";"20100601";"";"Zuschlag für Ordination außerhalb der Sprechstunde";"Die Pos.-Nr. E4 und E5 können nur verrechnet werden, wenn es sich um ärztlich dringliche Fälle handelt und zur betreffenden Zeit keine Ordinationszeiten festgesetzt sind.";"1";"";"14";"";"";""
"";"1.1";"E12";"";"20100601";"";"Erste Ordination erforderlichenfalls einschließlich eingehender Untersuchung";"Durch Fachärzte der Sonderfächer, die nicht unter der Pos.-Nr. E11 angeführt sind.
Einmal im Monat je Behandlungsfall und nicht neben Pos.-Nr. F12 verrechenbar.";"1";"";"32";"";"";""
"";"1.1";"F10";"";"20100601";"";"Entfernungszuschlag bei Nacht, gem. § 9 Abs. 3 lit. f";"";"1";"";"5";"";"";""
"";"1.1";"F9";"";"20100601";"";"Entfernungszuschlag bei Tag, gem. § 9 Abs. 3 lit. f";"";"1";"";"3";"";"";""
"";"1.1";"F11";"";"20100601";"";"Erster Krankenbesuch erforderlichenfalls einschließlich eingehender Untersuchung";"Durch den Facharzt für Anaesthesiologie, Innere Medizin, Kinderheilkunde und Lungenkrankheiten.
Einmal im Monat je Behandlungsfall und nicht neben Pos. Nr. E11 verrechenbar.";"1";"";"65";"";"";""
"";"1.1";"F12";"";"20100601";"";"Erster Krankenbesuch erforderlichenfalls einschließlich eingehender Untersuchung";"Durch Fachärzte der Sonderfächer, die nicht unter der Pos.-Nr. F11 angeführt sind. Einmal im Monat je Behandlungsfall und nicht neben Pos.-Nr. E12 verrechenbar.";"1";"";"61,5";"";"";""
"";"1.1";"F3";"";"20100601";"";"Weiterer Krankenbesuch";"";"1";"";"45,5";"";"";""
"";"1.1";"4a";"";"20100601";"";"Zuschlag für Konsilium (Arzt für Allgemeinmedizin) bei Tag";"";"0";"";"30";"";"";""
"";"1.1";"F4";"";"20100601";"";"Zuschlag für dringenden Krankenbesuch während der Sprechstunde";"Nur bei Berufung wegen Verdachtes auf akut lebensbedrohlichen Zustand – wie z. B. Unfall,
Kollaps, schwere akute Blutung und dgl. – verrechenbar.";"1";"";"27";"";"";""
"";"1.1";"F5";"";"20100601";"";"Zuschlag für Krankenbesuch an Sonn- und Feiertagen";"Nur bei Erstbesuch oder Dringlichkeit verrechenbar.";"1";"";"27";"";"";""
