"GruppeId";"PositionGruppenId";"PositionId";"PositionNeuId";"ValidFromDate";"ValidToDate";"PositionTitle";"PositionHinweis";"PositionAusFach";"PositionFachgebiete";"PositionPunktWert";"PositionGeldWert";"PositionZusatz";"PositionLogik"
"1";"";"";"";"20100101";"";"Ärztlicher Honorartarif für allgemeine Leistungen und Sonderleistungen";"";"0";"";"";"";"";""
"1.1";"";"";"";"20100101";"";"Grundleistungen";"";"0";"";"";"";"";""
"";"1.1";"A1";"";"20100101";"";"Erste Ordination";"Einmal im Monat je Behandlungsfall und nicht neben Pos. Nr. B1 verrechenbar.";"0";"";"20";"";"";""
"";"1.1";"A2";"";"20100101";"";"Weitere Ordination";"";"0";"";"11";"";"";""
"";"1.1";"A3";"";"20100101";"";"Zuschlag für Ordination außerhalb der Sprechstunde";"Nur bei Dringlichkeit verrechenbar.";"0";"";"4";"";"";""
"";"1.1";"A4";"";"20100101";"";"Zuschlag für Ordination an Sonn- und Feiertagen";"Nur bei Erstordination oder Dringlichkeit verrechenbar. 
Die Positionen A3 und A4 können nur verrechnet werden, wenn zur betreffenden Zeit keine Ordinationszeiten festgesetzt sind.";"0";"";"8";"";"";""
"";"1.1";"A5";"";"20100101";"";"Zuschlag für Ordination bei Nacht (20 Uhr bis 7 Uhr)";"";"0";"";"8";"";"";""
"";"1.1";"B1";"";"20100101";"";"Erster Krankenbesuch";"Einmal im Monat je Behandlungsfall und nicht neben Pos. Nr. A1 verrechenbar.";"0";"";"41";"";"";""
"";"1.1";"B2";"";"20100101";"";"Weiterer Krankenbesuch";"";"0";"";"32";"";"";""
"";"1.1";"B4";"";"20100101";"";"Zuschlag für Krankenbesuch an Sonn- und Feiertagen";"Nur bei Erstbesuch oder Dringlichkeit verrechenbar. Bei den Positionen B3 und B4 ist die Dringlichkeit zu begründen.";"0";"";"15";"";"";""
"";"1.1";"B5";"";"20100101";"";"Zuschlag für Krankenbesuch bei Nacht (20 Uhr bis 7 Uhr)";"";"0";"";"30";"";"";""
"";"1.1";"B6";"";"20100101";"";"Sprengelzuschlag (Wien) bei Tag";"";"0";"";"3";"";"";""
"";"1.1";"B7";"";"20100101";"";"Sprengelzuschlag (Wien) bei Nacht (20 Uhr bis 7 Uhr)";"";"0";"";"4";"";"";""
"";"1.1";"B9";"";"20100101";"";"Entfernungszuschlag außerhalb Wiens bei Nacht (20 Uhr bis 7 Uhr)";"Gemäß der Sonderregelung des § 9 Abs. 2 lit. c des Gesamtvertrages.";"0";"";"5";"";"";""
"";"1.1";"B8";"";"20100101";"";"Entfernungszuschlag außerhalb Wiens bei Tag";"Gemäß der Sonderregelung des § 9 Abs. 2 lit. c des Gesamtvertrages.";"0";"";"4";"";"";""
"";"1.1";"E1";"";"20100101";"";"Erste Ordination erforderlichenfalls einschließlich eingehender Untersuchung";"Einmal im Monat je Behandlungsfall und nicht neben Pos. Nr. F1 verrechenbar.";"1";"";"20";"";"";""
"";"1.1";"E2";"";"20100101";"";"Schriftlicher Befundbericht an den zuweisenden Arzt";"";"1";"";"9";"";"";""
"";"1.1";"E3";"";"20100101";"";"Weitere Ordination";"";"1";"";"11";"";"";""
"";"1.1";"E4";"";"20100101";"";"Zuschlag für Ordination außerhalb der Sprechstunde";"Nur bei Dringlichkeit verrechenbar.";"1";"";"4";"";"";""
"";"1.1";"E5";"";"20100101";"";"Zuschlag für Ordination an Sonn- und Feiertagen";"Nur bei Erstordination oder Dringlichkeit verrechenbar. Die Positionen E4 und E5 können nur verrechnet werden, wenn zur betreffenden Zeit keine Ordinationszeiten festgesetzt sind.";"1";"";"8";"";"";""
