"GruppeId";"PositionGruppenId";"PositionId";"PositionNeuId";"ValidFromDate";"ValidToDate";"PositionTitle";"PositionHinweis";"PositionAusFach";"PositionFachgebiete";"PositionPunktWert";"PositionGeldWert";"PositionZusatz";"PositionLogik"
"1";"";"";"";"20100101";"";"Ärztlicher Honorartarif für allgemeine Leistungen";"";"0";"";"";"";"";""
"1.1";"";"";"";"20100101";"";"Grundleistungen";"";"0";"";"";"";"";""
"";"1.1";"1 a";"11";"20100101";"";"Jede weitere Ordination";"";"0";"";"10";"0";"";""
"";"1.1";"8 b";"81";"20100101";"";"Zuschlag für Konsilium bei Tag für den Berufenden";"";"0";"";"30";"0";"";""
"";"1.1";"8 c";"82";"20100101";"";"Zuschlag für Konsilium bei Nacht für den Berufenen";"";"0";"";"80";"0";"";""
"";"1.1";"1 A";"10";"20100101";"";"Erste Ordination";"";"0";"";"16";"0";"";""
"";"1.1";"1 d";"14";"20100101";"";"Zuschlag zur Ordination bei Nacht (20,00 - 7,00 Uhr)";"";"0";"";"10";"19,81";"";""
"";"1.1";"1 e";"15";"20100101";"";"Ausfertigung eines Rezeptes";"Verrechnung einer Ordination nicht zulässig.
Gilt auch für Fachärzte.";"0";"";"4";"0";"";""
"";"1.1";"1 f";"16";"20100101";"";"Ordination im Wochenend(Feiertags)dienst";"Zusätzlich zum Pauschalbetrag";"0";"";"4";"19,81";"";""
"";"1.1";"1 g";"18";"20100101";"";"Erste Ordination über ärztliche Zuweisung";"Einschließlich eingehender Untersuchung und Befundbericht beim Arzt für Allgemeinmedizin.";"0";"";"22";"0";"";""
"";"1.1";"1 ff";"17";"20100101";"";"Nachtordination im Wochend(Feiertags)dienst";"Zusätzlich zum Pauschalbetrag.
Die Pos. 12 (1 b) und 13 (1 c) können nur verrechnet werden, wenn es sich um ärztlich dringende Fälle handelt und zur betreffenden Zeit keine Ordinationszeiten angesetzt sind.";"0";"";"4";"37,81";"";""
"";"1.1";"2 a";"20";"20100101";"";"Krankenbesuch (1. und jeder weitere)";"";"0";"";"42";"0";"";""
"";"1.1";"2 c";"22";"20100101";"";"Zuschalg zum Krankenbesuch an Wochenden und Feiertagen";"Nur bei Dringlichkeit - Erste Hilfe.";"0";"";"14";"0";"";""
"";"1.1";"2 b";"21";"20100101";"";"Zuschlag zum dringenden Krankenbesuch während der Ordinationszeit";"Nur bei Berufung wegen Verdacht auf akut lebensbedrohlichen Zustand, wie z. B. Unfall, Kollaps, schwere Blutung u. dgl. verrechenbar. Die Notwendigkeit ist zu begründen.";"0";"";"10";"0";"";""
"";"1.1";"2 d";"23";"20100101";"";"Zuschlag zum Krankenbesuch bei Nacht (20,00 - 7,00 Uhr)";"";"0";"";"14";"35,08";"";""
"";"1.1";"2 e";"24";"20100101";"";"Mitbesuch, z.B. in Heimen , Familien oder Wohnblocks, bei nicht gehfähigen Patienten";"";"0";"";"14";"0";"";""
"";"1.1";"2 f";"25";"20100101";"";"Krankenbesuch im Wochenend(Feiertags)dienst";"Zusätzlich zum Pauschalbetrag.";"0";"";"4";"41,51";"";""
"";"1.1";"2 ff";"26";"20100101";"";"Krankenbesuch bei Nacht im Wochenend(Feiertags)dienst";"Zusätzlich zum Pauschalbetrag.";"0";"";"4";"64,77";"";""
"";"1.1";"3 a";"30";"20100101";"";"Zuschlag für unvorgergesehene Zeitversäumnis bei Tag";"Bei Ordinationen und Krankenbesuchen, die länger als eine halbe Stunde dauern, für jede angefangene halbe Stunde.
Die Zuschläge nach 30 (3 a) und 31 (3 b) sind nicht verrechenbar, wenn das Zeitversäumnis durch eine Sonderleistung oder eine Operation verursacht wurde. Das unvorhergesehene Zeitversäumnis ist zu begründen.";"0";"";"20";"0";"";""
"";"1.1";"3 c";"32";"20100101";"";"Zeitaufwand für Ordinationen und Krankenbesuche";"Zeitaufwand für Ordinationen und Krankenbesuche die länger als 15 Minuten dauern, pro angefangene Viertelstunde (Ärztliches Gespräch):
Die ersten 15 Minuten sind mit der Ordination bzw. mit dem Besuch abgegolten.
Patientenlimit: pro Patient und Quartal max. 3 mal 1/4 Stunde.
Gesamtlimit: 10 % der abgerechneten Fälle.";"0";"";"14";"0";"";""
"";"1.1";"4 a";"40";"20100101";"";"Zuschlag für Konsilium bei Tag für den Berufenen";"";"0";"";"40";"0";"";""
"";"1.1";"4 b";"41";"20100101";"";"Zuschlag für Konsilium bei Tag für den Berufenden";"";"0";"";"30";"0";"";""
"";"1.1";"4 c";"42";"20100101";"";"Zuschlag für Konsilium bei Nacht für den Berufenen";"";"0";"";"80";"0";"";""
"";"1.1";"4 d";"43";"20100101";"";"Zuschlag für Konsilium bei Nacht für den Berufenden";"";"0";"";"60";"0";"";""
"";"1.1";"5 c";"52";"20100101";"";"Erste Ordination ohne ärztliche Zuweisung bei allen Fachärzten";"";"0";"";"20";"0";"";""
"";"1.1";"5 e";"53";"20100101";"";"Weitere Ordination beim Facharzt";"";"0";"";"10";"0";"";""
"";"1.1";"5 f";"54";"20100101";"";"Weitere Ordination beim Facharzt mit neuerlicher Zuweisung und Befundbericht";"";"0";"";"18";"0";"";""
"";"1.1";"5 h";"56";"20100101";"";"Zuschlag zur Ordination an Wochenenden und Feiertagen";"Nur bei Dringlichkeit - erste Hilfe, außerhalb der Ordinationszeit.";"0";"";"10";"0";"";""
"";"1.1";"5 i";"57";"20100101";"";"Zuschlag zur Ordination bei Nacht (20,00 - 7,00 Uhr)";"";"0";"";"10";"19,81";"";""
